time,voltage,current
1574097619.3479497,3.65025,0.0165616
1574097620.4501367,3.65027,0.0164209
1574097621.5566907,3.65028,0.0164597
1574097622.6838748,3.65026,0.0162334
1574097623.7975924,3.65027,0.0162236
1574097624.9195263,3.65027,0.016386
1574097626.0382977,3.65024,0.0161847
1574097627.1637352,3.65029,0.0160345
1574097628.2764478,3.65024,0.0160303
1574097629.3983834,3.65027,0.0160573
1574097630.5125499,3.65026,0.0160931
1574097631.6204274,3.65026,0.0157687
1574097632.7444913,3.65029,0.0160723
1574097633.8563614,3.65027,0.0158432
1574097634.975641,3.65026,0.0157291
1574097636.0895703,3.65028,0.0159184
1574097637.2069242,3.65025,0.015816
1574097638.3198419,3.65026,0.0158617
1574097639.4372714,3.65028,0.0157267
1574097640.5556421,3.65026,0.0158553
1574097641.652407,3.65027,0.0155495
1574097642.7686687,3.65027,0.0154518
1574097643.8798845,3.65025,0.0157
1574097644.9951024,3.65025,0.015602
1574097646.0879693,3.65028,0.0156017
1574097647.1911266,3.65025,0.0154159
1574097648.303618,3.65025,0.0152732
1574097649.416123,3.65026,0.0153851
1574097650.5291107,3.65029,0.0154345
1574097651.6401465,3.65026,0.0153584
1574097652.7531154,3.65029,0.0153268
1574097653.8692846,3.65028,0.0152537
1574097654.9902587,3.65027,0.0153796
1574097656.112304,3.65027,0.0150802
1574097657.2293394,3.65028,0.0152435
1574097658.3265038,3.65028,0.015199
1574097659.445826,3.65026,0.0151788
1574097660.5411928,3.6503,0.0151299
1574097661.6556637,3.65027,0.0150103
1574097662.7704499,3.65029,0.0149613
1574097663.883497,3.65029,0.0150278
1574097664.9946473,3.65031,0.0149093
1574097666.106644,3.65027,0.0148005
1574097667.222268,3.65029,0.0148838
1574097668.347185,3.65027,0.014976
1574097669.4610898,3.6503,0.0149184
1574097670.5709481,3.65026,0.0147368
1574097671.6840346,3.65029,0.0148154
1574097672.7963557,3.65028,0.0147028
1574097673.9007416,3.65029,0.0146001
1574097675.0219607,3.65027,0.0147179
1574097676.1341975,3.65026,0.0147202
1574097677.2429976,3.65027,0.0145749
1574097678.3365283,3.65027,0.0144841
1574097679.4401898,3.65029,0.0145684
1574097680.5580893,3.65025,0.0143384
1574097681.6686795,3.65027,0.0144864
1574097682.7813208,3.65027,0.0144635
1574097683.8961277,3.65028,0.0143194
1574097685.006196,3.65026,0.0144612
1574097686.1201534,3.65025,0.0145944
1574097687.243386,3.65028,0.0144279
1574097688.3362968,3.65028,0.0143803
1574097689.4454832,3.65024,0.0143507
1574097690.5371652,3.65024,0.0143893
1574097691.6507816,3.6503,0.014352
1574097692.7686276,3.65023,0.0142698
1574097693.8826125,3.65028,0.0142006
1574097694.9937422,3.65026,0.0141438
1574097696.1174896,3.65026,0.0143245
1574097697.2366705,3.65028,0.0141247
1574097698.3310263,3.65029,0.0141697
1574097699.4457407,3.65028,0.014132
1574097700.561887,3.65025,0.0141045
1574097701.6820393,3.65028,0.0139682
1574097702.8009539,3.65024,0.0140372
1574097703.9119854,3.6503,0.0139027
1574097705.0229332,3.65027,0.0139972
1574097706.1361144,3.65028,0.013833
1574097707.252038,3.65031,0.013835
1574097708.3670156,3.65028,0.0139035
1574097709.4812107,3.65026,0.0139026
1574097710.6031308,3.65029,0.0138977
1574097711.7003257,3.65027,0.0138268
1574097712.7961686,3.65029,0.0137308
1574097713.9062536,3.65029,0.0138699
1574097715.018709,3.6503,0.013788
1574097716.131409,3.65033,0.0138212
1574097717.2463057,3.65028,0.0138348
1574097718.349716,3.65028,0.0137307
1574097719.462882,3.65029,0.01368
1574097720.574593,3.65027,0.0137442
1574097721.684586,3.65027,0.0136789
1574097722.7966669,3.65029,0.0136249
1574097723.9070132,3.65029,0.0136627
1574097725.0213766,3.65028,0.0135322
1574097726.1177704,3.65027,0.013506
1574097727.236187,3.65028,0.013578
1574097728.3344476,3.65027,0.0135903
1574097729.4470088,3.65031,0.0136104
1574097730.5558603,3.65029,0.0136067
1574097731.678908,3.65031,0.013387
1574097732.7729077,3.65028,0.0134647
