time,voltage,current
1574095394.0177536,3.53314,1.20052
1574095395.112393,3.53327,1.20053
1574095396.2488334,3.53337,1.20053
1574095397.369376,3.53353,1.20052
1574095398.496263,3.53356,1.20052
1574095399.610588,3.53373,1.20052
1574095400.7295141,3.53384,1.20052
1574095401.8395367,3.53397,1.20053
1574095402.9555826,3.53402,1.20054
1574095404.0517416,3.53412,1.20052
1574095405.1734583,3.53426,1.20053
1574095406.2646613,3.53436,1.20054
1574095407.3607113,3.53445,1.20054
1574095408.479733,3.53453,1.20053
1574095409.5938287,3.53464,1.20053
1574095410.714902,3.53469,1.20051
1574095411.8318093,3.5348,1.20053
1574095412.9582055,3.53488,1.20053
1574095414.0542285,3.53496,1.20051
1574095415.170223,3.53507,1.20053
1574095416.2710779,3.53515,1.20053
1574095417.3823712,3.53522,1.20053
1574095418.495913,3.5353,1.20051
1574095419.6093435,3.53538,1.20053
1574095420.7213795,3.53542,1.20053
1574095421.8431995,3.53554,1.20052
1574095422.957578,3.53558,1.20051
1574095424.0676575,3.5357,1.20051
1574095425.1824608,3.53574,1.20052
1574095426.293554,3.53582,1.20053
1574095427.4064932,3.53589,1.20052
1574095428.5156784,3.53595,1.20052
1574095429.6296914,3.53601,1.20052
1574095430.7448528,3.53611,1.20053
1574095431.8555572,3.53615,1.20053
1574095432.9615343,3.5362,1.20054
1574095434.0739048,3.53627,1.20052
1574095435.1667025,3.53631,1.20053
1574095436.2734594,3.53639,1.20052
1574095437.385067,3.53646,1.20053
1574095438.4983172,3.53649,1.20052
1574095439.6122036,3.53659,1.20053
1574095440.7346618,3.53666,1.20052
1574095441.8504717,3.5367,1.20052
1574095442.9635425,3.53676,1.20053
1574095444.0798225,3.53683,1.20053
1574095445.1924427,3.53692,1.20053
1574095446.2918608,3.53699,1.20053
1574095447.3926513,3.53704,1.20053
1574095448.488459,3.53711,1.20053
1574095449.603216,3.53713,1.20053
1574095450.6998756,3.5372,1.20052
1574095451.7951255,3.5373,1.20052
1574095452.9195497,3.53733,1.20053
1574095454.0416489,3.53738,1.20054
1574095455.1553664,3.53744,1.20053
1574095456.2479482,3.53749,1.20052
1574095457.36615,3.53757,1.20052
1574095458.4817839,3.53764,1.20052
1574095459.5981734,3.5377,1.20053
1574095460.7210457,3.53774,1.20052
1574095461.8323002,3.53783,1.20052
1574095462.947549,3.53784,1.20052
1574095464.0430033,3.53792,1.20052
1574095465.155251,3.53798,1.20053
1574095466.257806,3.53802,1.20053
1574095467.3714817,3.53805,1.20052
1574095468.4860623,3.53814,1.20054
1574095469.6143641,3.53815,1.20051
1574095470.7264853,3.53821,1.20052
1574095471.837946,3.53826,1.20051
1574095472.9489202,3.53837,1.20052
1574095474.0625846,3.53839,1.20051
1574095475.1600466,3.53843,1.20052
1574095476.2797587,3.53846,1.20052
1574095477.3964927,3.53853,1.20053
1574095478.5089078,3.53855,1.20053
1574095479.626016,3.53865,1.20053
1574095480.7547493,3.53871,1.20052
1574095481.849306,3.53876,1.20052
1574095482.9511132,3.53879,1.20052
1574095484.0650654,3.53885,1.20053
1574095485.1608622,3.53891,1.20052
1574095486.2741764,3.53894,1.20054
1574095487.384494,3.539,1.20053
1574095488.4954467,3.53906,1.20052
1574095489.6170511,3.5391,1.20053
1574095490.713401,3.53914,1.20052
1574095491.805445,3.53919,1.20053
1574095492.9418943,3.53923,1.20052
1574095494.0415456,3.5393,1.20051
1574095495.1367533,3.53932,1.20052
1574095496.2411444,3.53936,1.20053
1574095497.4109752,3.53943,1.20051
1574095498.5400653,3.53948,1.20053
1574095499.6729379,3.53955,1.20054
1574095500.769765,3.53959,1.20052
1574095501.8640373,3.53965,1.20051
1574095502.9664638,3.53971,1.20053
1574095504.0619361,3.53974,1.20052
1574095505.1573746,3.53978,1.20053
1574095506.2720912,3.53987,1.20052
1574095507.395671,3.53987,1.20053
1574095508.512417,3.53997,1.20053
1574095509.6248958,3.53999,1.20052
1574095510.7411246,3.54004,1.20051
1574095511.862329,3.54009,1.20052
1574095512.9772968,3.54015,1.20052
1574095514.0899858,3.54019,1.20053
1574095515.203368,3.54022,1.20051
1574095516.312979,3.54027,1.20051
1574095517.4065025,3.54032,1.20053
1574095518.5315828,3.54035,1.20052
1574095519.631105,3.543,1.20053
1574095520.747851,3.54265,1.20053
1574095521.873931,3.54253,1.20053
1574095522.9669445,3.5426,1.20053
1574095524.0829787,3.54251,1.20052
1574095525.1958249,3.54256,1.20051
1574095526.3069599,3.54258,1.20053
1574095527.4210012,3.54264,1.20053
1574095528.531269,3.54276,1.20052
1574095529.648867,3.5428,1.20053
1574095530.7703912,3.54277,1.20052
1574095531.8841243,3.54283,1.20054
1574095532.9961693,3.5428,1.20052
1574095534.1123407,3.54282,1.20051
1574095535.2262666,3.54289,1.20053
1574095536.3407216,3.54292,1.20054
1574095537.4537034,3.54294,1.20052
1574095538.5636847,3.54298,1.20051
1574095539.674343,3.54304,1.20053
1574095540.7865064,3.54303,1.20052
1574095541.88107,3.54311,1.20051
1574095542.9928443,3.54316,1.20053
1574095544.1080146,3.54316,1.20053
1574095545.2207968,3.54319,1.20053
1574095546.3322165,3.54324,1.20051
1574095547.4483776,3.54331,1.20051
1574095548.5411277,3.54332,1.20051
1574095549.6450663,3.54336,1.20052
1574095550.7410817,3.54344,1.20054
1574095551.8531013,3.54345,1.20052
1574095552.9731426,3.54348,1.20053
1574095554.0714426,3.54354,1.20051
1574095555.1941595,3.54357,1.20052
1574095556.286833,3.54364,1.20053
1574095557.399302,3.54363,1.20053
1574095558.5192683,3.54369,1.20052
1574095559.6333866,3.54373,1.20054
1574095560.7463772,3.54379,1.20053
1574095561.857422,3.54379,1.20051
1574095562.981374,3.54387,1.20053
1574095564.0749319,3.54389,1.20051
1574095565.1885755,3.54395,1.20053
1574095566.303606,3.54398,1.20053
1574095567.4224179,3.54404,1.20052
1574095568.537752,3.54406,1.20051
1574095569.6598427,3.54409,1.20053
1574095570.7810264,3.54415,1.20052
1574095571.8986418,3.54416,1.20052
1574095573.0086298,3.54423,1.20052
1574095574.1214714,3.54424,1.20052
1574095575.2337956,3.54432,1.20053
1574095576.348038,3.54438,1.20054
1574095577.4638243,3.54436,1.20053
1574095578.5564504,3.54441,1.20052
1574095579.6591256,3.54447,1.20052
1574095580.7711527,3.54452,1.20051
1574095581.8665116,3.54458,1.20052
1574095582.9604492,3.54457,1.20052
1574095584.0653837,3.54463,1.20052
1574095585.1583867,3.54468,1.20053
1574095586.2743893,3.54472,1.20052
1574095587.3905234,3.54474,1.20052
1574095588.4932923,3.5448,1.20053
1574095589.6036916,3.54482,1.20051
1574095590.7157576,3.54486,1.2005
1574095591.8387713,3.54489,1.20053
1574095592.954756,3.54495,1.20053
1574095594.0579367,3.54496,1.20052
1574095595.1509585,3.54501,1.20052
1574095596.2639115,3.54504,1.20053
1574095597.378416,3.54509,1.20054
1574095598.4779792,3.54512,1.20053
1574095599.592743,3.54515,1.20052
1574095600.694171,3.5452,1.20053
1574095601.8063562,3.54526,1.20053
1574095602.9221842,3.54529,1.20053
1574095604.042439,3.54531,1.20052
1574095605.1598425,3.54532,1.20052
1574095606.280803,3.54537,1.20052
1574095607.396321,3.54544,1.20052
1574095608.5093164,3.54551,1.20052
1574095609.6183114,3.5455,1.20051
1574095610.7311127,3.54554,1.20052
1574095611.8456714,3.54556,1.20053
1574095612.9606404,3.54561,1.20052
1574095614.0715742,3.54569,1.20052
1574095615.1849482,3.54568,1.20053
1574095616.3007731,3.54571,1.20053
1574095617.4208407,3.54579,1.20052
1574095618.5415459,3.54583,1.20052
1574095619.668923,3.54583,1.20052
1574095620.766989,3.54589,1.20053
1574095621.8771894,3.54593,1.20052
1574095622.988481,3.54595,1.20053
1574095624.1001623,3.54598,1.20053
1574095625.213126,3.54604,1.20052
1574095626.3242872,3.54606,1.20051
1574095627.4383898,3.5461,1.20054
1574095628.554222,3.54616,1.20053
1574095629.6716204,3.54619,1.20052
1574095630.7948544,3.54625,1.20052
1574095631.9051461,3.54625,1.20052
1574095633.016835,3.54633,1.20052
1574095634.1315866,3.54632,1.20052
1574095635.2467155,3.54639,1.20055
1574095636.359507,3.54644,1.20053
1574095637.4721348,3.54642,1.20053
1574095638.5878284,3.54651,1.20052
1574095639.7005553,3.54653,1.20052
1574095640.802495,3.5466,1.20051
1574095641.9160924,3.54657,1.20052
1574095643.0275326,3.54665,1.20053
1574095644.1208208,3.54666,1.20052
1574095645.236014,3.54671,1.20053
1574095646.3510532,3.54673,1.20052
1574095647.4723594,3.54675,1.20053
1574095648.5899508,3.54682,1.20052
1574095649.6939857,3.54685,1.20053
1574095650.7921758,3.54689,1.20053
1574095651.8831844,3.54694,1.20051
1574095652.9776251,3.54698,1.20052
1574095654.098398,3.54699,1.20052
1574095655.2148318,3.54707,1.20052
1574095656.3318121,3.54709,1.20051
1574095657.4429057,3.54716,1.20052
1574095658.553783,3.54714,1.20051
1574095659.6736996,3.54719,1.20053
1574095660.7957754,3.54724,1.20053
1574095661.9117362,3.54725,1.20053
1574095663.0048296,3.54727,1.20052
1574095664.120144,3.54736,1.20051
1574095665.2338753,3.54736,1.20052
1574095666.3443353,3.54739,1.20052
1574095667.4629602,3.54744,1.20051
1574095668.5808995,3.54749,1.20053
1574095669.6810768,3.54754,1.20051
1574095670.7977922,3.54756,1.20052
1574095671.8931386,3.5476,1.20052
1574095672.9932196,3.54767,1.20052
1574095674.1072662,3.54769,1.20053
1574095675.2118535,3.54774,1.20052
1574095676.3053274,3.54777,1.20054
1574095677.4075427,3.54784,1.20053
1574095678.5124114,3.54782,1.20051
1574095679.619549,3.54785,1.20053
1574095680.7130299,3.54787,1.20052
1574095681.8043616,3.54796,1.20053
1574095682.9136517,3.54797,1.20052
1574095684.0078776,3.54803,1.20052
1574095685.1150296,3.54807,1.20053
1574095686.2142334,3.54809,1.20053
1574095687.327046,3.54812,1.20053
1574095688.4405084,3.54816,1.20052
1574095689.549943,3.54819,1.20054
1574095690.663209,3.54825,1.20053
1574095691.7678103,3.54825,1.20052
1574095692.875402,3.54832,1.20053
1574095693.981279,3.54836,1.20053
1574095695.0885625,3.54839,1.20052
1574095696.1963177,3.54843,1.20053
1574095697.3073275,3.54846,1.20052
1574095698.411482,3.54851,1.20052
1574095699.5213814,3.54854,1.20052
1574095700.627019,3.54856,1.20052
1574095701.7243803,3.54861,1.20052
1574095702.8294792,3.54869,1.20052
1574095703.9416645,3.5487,1.20053
1574095705.047319,3.54872,1.20052
1574095706.153636,3.54877,1.20052
1574095707.2576404,3.5488,1.20053
1574095708.3713808,3.54882,1.20053
1574095709.474539,3.54888,1.20052
1574095710.5822375,3.54892,1.20052
1574095711.723914,3.54898,1.20053
1574095712.8322814,3.54898,1.20052
1574095713.9440463,3.54902,1.20053
1574095715.0514317,3.54906,1.20052
1574095716.148063,3.54907,1.20053
1574095717.2575164,3.54913,1.20053
1574095718.364359,3.54914,1.20053
1574095719.4543552,3.5492,1.20053
1574095720.562259,3.54921,1.20053
1574095721.6779785,3.54925,1.20053
1574095722.7794554,3.54931,1.20054
1574095723.8926013,3.54934,1.20053
1574095725.008559,3.54938,1.20053
1574095726.1074197,3.54942,1.20054
