time,Voltage (V)
1574182671.7715032,2.9049467
1574182673.1377683,2.9044141
1574182674.5042353,2.9038865
1574182675.8694355,2.9033399
1574182677.248575,2.9028149
1574182678.6160226,2.9022885
1574182679.9814851,2.9017887
1574182681.347504,2.9012712
1574182682.714976,2.9007588
1574182684.0825107,2.9002375
1574182685.467582,2.8996985
1574182686.8340511,2.8991962
1574182688.1988604,2.8986888
1574182689.5668113,2.8981889
1574182690.9315174,2.8976878
1574182692.2971044,2.8971767
1574182693.6625607,2.896673
1574182695.032812,2.8961682
1574182696.4007576,2.8956772
1574182697.7687259,2.8951672
1574182699.1337264,2.8946813
1574182700.5014608,2.8941928
1574182701.869494,2.8937006
1574182703.2357895,2.893202
1574182704.6008828,2.8927211
1574182705.9678488,2.8922276
1574182707.332982,2.8917379
1574182708.7248356,2.8912431
1574182710.0901804,2.8907609
1574182711.456045,2.8902876
1574182712.8229902,2.8897991
1574182714.2199488,2.8893082
1574182715.5873272,2.8888411
1574182716.9530962,2.8883476
1574182718.318674,2.8878894
1574182719.684918,2.8874098
1574182721.0526114,2.8869428
1574182722.4204288,2.886467
1574182723.787169,2.8860037
1574182725.1540477,2.8855456
1574182726.5240262,2.8850924
1574182727.890136,2.8846292
1574182729.2561834,2.8841799
1574182730.6242163,2.8837103
1574182731.9911032,2.8832446
1574182733.3571336,2.8827889
1574182734.7247267,2.8823257
1574182736.1105406,2.8818751
1574182737.4756513,2.8814346
1574182738.842968,2.8809827
1574182740.2112312,2.8805347
1574182741.577011,2.8800891
1574182742.9426484,2.8796448
1574182744.3090823,2.8792144
1574182745.6743052,2.8787663
1574182747.058659,2.8783208
1574182748.4245746,2.8778878
1574182749.7899938,2.8774612
1574182751.1639483,2.8770321
1574182752.5288112,2.8766282
1574182753.896123,2.8762003
1574182755.2617192,2.8757749
1574182756.6292253,2.8753508
1574182757.9956179,2.8749217
1574182759.3612885,2.8745127
1574182760.7283022,2.8741038
1574182762.096473,2.8736772
1574182763.461547,2.8732518
1574182764.8295085,2.8728328
1574182766.196704,2.8724175
1574182767.5622017,2.8719997
1574182768.9295092,2.8715983
1574182770.29397,2.8711894
1574182771.683701,2.8707792
1574182773.0507157,2.8703929
1574182774.4177883,2.8699752
1574182775.7833452,2.8695788
1574182777.156702,2.8691711
1574182778.5235233,2.868771
1574182779.8915963,2.8683646
1574182781.2578278,2.8679695
1574182782.6228945,2.8675694
1574182783.9886858,2.8671819
1574182785.3537223,2.8668071
1574182786.7194455,2.8664271
1574182788.0858538,2.8660157
1574182789.4517963,2.8656257
1574182790.819694,2.8652407
1574182792.2118378,2.864833
1574182793.5793378,2.8644606
1574182794.9452975,2.864082
1574182796.3122458,2.8637046
1574182797.6778953,2.8633436
1574182799.0458996,2.8629549
1574182800.440507,2.8625724
1574182801.8060896,2.8621938
1574182803.1725483,2.8618227
1574182804.538047,2.8614579
1574182805.9032557,2.8610755
1574182807.2689898,2.8607094
1574182808.6346686,2.8603358
1574182810.0002267,2.8599572
1574182811.3667343,2.8596025
1574182812.7321112,2.859239
1574182814.0978227,2.8588704
1574182815.4653509,2.8585044
1574182816.8327017,2.8581358
1574182818.1992517,2.8577736
1574182819.5662596,2.8574239
1574182820.9321198,2.8570693
1574182822.2980413,2.8567184
1574182823.6631665,2.8563713
1574182825.0301528,2.855985
1574182826.3953066,2.8556266
1574182827.7604141,2.8552744
1574182829.1270638,2.8549134
1574182830.4929214,2.8545676
1574182831.8604279,2.8542016
1574182833.2291658,2.8538709
1574182834.5946162,2.8535225
1574182835.960099,2.8531779
1574182837.3263133,2.8528384
1574182838.6927724,2.8525178
1574182840.0610113,2.8521581
1574182841.4262743,2.8518312
1574182842.7913723,2.8515068
1574182844.155698,2.8511811
1574182845.5257263,2.8508315
1574182846.8928537,2.850516
1574182848.259685,2.8501714
1574182849.6290672,2.8498356
1574182850.9961302,2.8494961
1574182852.362493,2.8491717
1574182853.7523437,2.8488562
1574182855.1426857,2.8485192
1574182856.5095131,2.8481923
1574182857.8747985,2.8478843
1574182859.240505,2.8475599
1574182860.6060133,2.847238
1574182861.9731507,2.8469137
1574182863.3383126,2.8465956
1574182864.7306106,2.8462712
1574182866.0977156,2.8459632
1574182867.4844027,2.8456414
1574182868.8516147,2.8453258
1574182870.220716,2.8450166
1574182871.5878904,2.844701
1574182872.954721,2.8443893
1574182874.3199246,2.8440674
1574182875.685093,2.8437771
1574182877.0502627,2.843459
1574182878.4150634,2.8431586
1574182879.78123,2.8428633
1574182881.1468086,2.8425452
1574182882.5148516,2.8422537
1574182883.8804708,2.8419608
1574182885.2456112,2.841644
1574182886.610669,2.8413613
1574182887.9759197,2.8410508
1574182889.3408568,2.8407655
1574182890.706989,2.8404613
1574182892.0819862,2.8401824
1574182893.4492486,2.8398858
1574182894.81503,2.8395904
1574182896.1827703,2.8392976
1574182897.550126,2.8390073
1574182898.918547,2.8387119
1574182900.2851946,2.8384242
1574182901.6503122,2.8381301
1574182903.0162463,2.8378499
1574182904.3837957,2.8375734
1574182905.748984,2.8372844
1574182907.1172295,2.8369878
1574182908.4835107,2.8367051
1574182909.849164,2.8364362
1574182911.218071,2.8361333
1574182912.5851746,2.8358543
1574182913.9531126,2.8355741
1574182915.3194864,2.835299
1574182916.684261,2.8350226
1574182918.0612566,2.8347449
1574182919.4272554,2.8344849
1574182920.795335,2.8341996
1574182922.16197,2.8339106
1574182923.5294743,2.8336518
1574182924.8968658,2.8333703
1574182926.2633474,2.8331116
1574182927.6314344,2.8328339
1574182928.998125,2.8325752
1574182930.366331,2.8323101
1574182931.7337284,2.8320564
1574182933.0998836,2.8317686
1574182934.4653542,2.8315086
1574182935.8314977,2.8312208
1574182937.1970136,2.8309859
1574182938.5621562,2.8307195
1574182939.9289997,2.830457
1574182941.2950063,2.8302096
1574182942.660661,2.8299496
1574182944.0286276,2.8296909
1574182945.394791,2.8294258
1574182946.7618468,2.8291734
1574182948.1287353,2.8289348
1574182949.4963303,2.8286672
1574182950.8637917,2.8284085
1574182952.2307322,2.8281649
1574182953.5978065,2.8279213
1574182954.9657156,2.8276663
1574182956.3316197,2.8274315
1574182957.7017229,2.8271715
1574182959.0688727,2.8269456
1574182960.4360442,2.8266932
1574182961.8058481,2.8264559
1574182963.171844,2.8262249
1574182964.5397508,2.825999
1574182965.9051714,2.8257629
1574182967.2880156,2.8255294
1574182968.6565983,2.8252934
1574182970.0221155,2.8250409
1574182971.3871803,2.8247923
1574182972.7654326,2.8245474
1574182974.1338708,2.8243164
1574182975.4990773,2.8240981
1574182976.866858,2.8238747
1574182978.2327955,2.8236361
1574182979.5988843,2.8234026
1574182980.9669738,2.8231679
1574182982.3334851,2.8229508
1574182983.7012808,2.8227286
1574182985.0690298,2.8224913
1574182986.4356182,2.8222616
1574182987.800745,2.8220294
1574182989.1664867,2.8218022
1574182990.5320332,2.8215876
1574182991.8991244,2.8213667
1574182993.2692862,2.8211282
1574182994.6361494,2.8209022
1574182996.004206,2.8206788
1574182997.3699987,2.820463
1574182998.7368166,2.8202396
1574183000.1041965,2.8200212
1574183001.472146,2.8197864
1574183002.8403678,2.8195731
1574183004.207658,2.8193598
1574183005.574404,2.8191427
1574183006.9542701,2.8188878
1574183008.3201072,2.8186719
1574183009.6849837,2.8184649
1574183011.0533273,2.818239
