time,voltage
1573673106.9423985,5.9474e-05
1573673108.3868463,5.1613e-05
1573673109.8335824,-3.6067e-05
1573673111.2785296,-9.927e-06
1573673112.725734,1.13e-07
1573673114.1718712,-3.6596e-05
1573673115.6194103,-3.5979e-05
1573673117.0666275,-9.1019e-05
1573673118.513611,-3.1343e-05
1573673119.9607275,-2.4742e-05
1573673121.4299972,-2.0648e-05
1573673122.8770852,-2.5258e-05
1573673124.324159,-2.8446e-05
1573673125.7717276,-2.3936e-05
1573673127.2173939,-3.3649e-05
1573673128.663967,-2.5069e-05
1573673130.1106083,-2.6745e-05
1573673131.5750456,-2.7929e-05
1573673133.0228338,-2.9743e-05
1573673134.470117,-4.3122e-05
1573673135.9161155,-3.3195e-05
1573673137.3623786,-2.9995e-05
1573673138.809877,-2.8383e-05
1573673140.2557724,-3.5198e-05
1573673141.703048,-2.706e-05
1573673143.1500678,-3.5173e-05
1573673144.5958676,-3.9242e-05
1573673146.0430236,-2.8761e-05
1573673147.4908776,-3.8284e-05
1573673148.9561574,-4.156e-05
1573673150.4033074,-3.7453e-05
1573673151.8500824,-3.4354e-05
1573673153.2951066,-2.803e-05
1573673154.7413516,-3.9355e-05
1573673156.1878204,-2.8017e-05
1573673157.6333325,-3.1822e-05
1573673159.0793483,-3.8058e-05
1573673160.5251777,9.877e-06
1573673161.9723551,-5.9499e-05
1573673163.4352942,0.001937039
1573673164.8811183,0.00010407
1573673166.342769,-0.005722697
1573673167.789881,9.0981e-05
1573673169.2361698,0.006601051
1573673170.6824067,-0.001496952
1573673172.1284566,-0.000314351
1573673173.575644,-0.00350614
1573673175.0227017,-0.000206326
1573673176.487048,0.000365536
1573673177.9542382,-0.000133737
1573673179.4006128,-4.1787e-05
1573673180.8481264,-2.9693e-05
1573673182.292627,1.4046e-05
1573673183.7399302,4.5289e-05
1573673185.1878183,3.2313e-05
1573673186.6335833,3.7907e-05
1573673188.0805118,1.4336e-05
1573673189.5275984,1.998e-05
1573673190.9741137,3.6155e-05
1573673192.4424074,2.9869e-05
1573673193.8906288,3.7088e-05
1573673195.335324,4.9421e-05
1573673196.7824805,4.6334e-05
1573673198.2267685,1.1968e-05
1573673199.6744874,-3.1129e-05
1573673201.1217701,3.9028e-05
1573673202.5680525,5.3729e-05
1573673204.0148897,4.472e-06
1573673205.4610283,3.259e-05
1573673206.925248,3.137e-06
1573673208.3723426,3.553e-06
1573673209.818779,1.7486e-05
1573673211.2659612,3.4933e-05
1573673212.712842,1.9678e-05
1573673214.159984,3.152e-05
1573673215.6072302,-5.757e-06
1573673217.05413,-5.644e-06
1573673218.5004046,1.7158e-05
1573673219.9648836,-1.5873e-05
1573673221.4116695,4.7317e-05
1573673222.858959,2.1026e-05
1573673224.3042614,8.73e-06
1573673225.7513256,9.902e-06
1573673227.1984844,-5.392e-06
1573673228.6454477,1.8179e-05
1573673230.0922163,9.146e-06
1573673231.5379736,3.9897e-05
1573673232.985392,-4.28e-07
1573673234.4314036,-1.2661e-05
1573673235.8782692,-2.3999e-05
1573673237.3252792,5.379e-06
1573673238.7722065,1.5029e-05
1573673240.231803,-3.49e-06
1573673241.677699,-2.3608e-05
1573673243.1246638,-1.1779e-05
1573673244.5721467,-2.5586e-05
1573673246.0184755,3.4745e-05
1573673247.4654253,3.6307e-05
1573673248.9115062,7.143e-06
1573673250.3556662,-3.0688e-05
1573673251.811015,1.033e-06
1573673253.2562075,-3.0764e-05
1573673254.702944,-9.599e-06
1573673256.1495624,-1.76e-07
1573673257.5957832,3.2578e-05
1573673259.0419154,1.9766e-05
1573673260.4887822,-0.00019762
1573673261.952694,-8.4669e-05
1573673263.3976088,-6.4097e-05
1573673264.8439815,0.000734208
1573673266.2884772,-0.001301309
1573673267.7180047,-0.000345001
1573673269.1644678,0.005372909
1573673270.6329432,-0.001128456
1573673272.080298,0.002244072
1573673273.5274985,-0.009117145
1573673274.976056,0.004811
1573673276.4199443,-0.006565991
1573673277.8668706,0.000388665
1573673279.312588,-0.003640482
1573673280.7598567,0.005271472
1573673282.2042184,0.00336687
1573673283.6509092,0.000513886
1573673285.0979936,0.000811886
1573673286.5718057,3.2143611
1573673287.9401107,3.2164425
1573673289.3058891,3.2184797
1573673290.67338,3.2204828
1573673292.0409758,3.2224467
1573673293.4069262,3.224369
1573673294.7749915,3.2262598
1573673296.1430666,3.2281114
1573673297.5094557,3.2299265
1573673298.8761652,3.2317024
1573673300.2420485,3.2334518
1573673301.6091135,3.2351709
1573673302.9771175,3.2368622
1573673304.344868,3.2385169
1573673305.7125933,3.2401389
1573673307.0811956,3.241728
1573673308.4492137,3.2432792
1573673309.815227,3.2447976
1573673311.1822267,3.2462845
1573673312.552316,3.2477398
1573673313.9400363,3.2491774
1573673315.3052146,3.250562
1573673316.6703925,3.2519155
1573673318.0355728,3.2532383
1573673319.400751,3.2545383
1573673320.7659283,3.2558043
1573673322.1311097,3.2570413
1573673323.4959152,3.2582542
1573673324.8632677,3.2594394
1573673326.231209,3.2606007
1573673327.5985742,3.2617341
1573673328.9845252,3.2628587
1573673330.3518934,3.2639455
1573673331.7197704,3.2650019
1573673333.1105454,3.2660584
1573673334.4776568,3.2670732
1573673335.844563,3.2680728
1573673337.2119823,3.2690397
1573673338.5796258,3.2699939
1573673339.9468813,3.2709241
1573673341.315329,3.2718342
1573673342.6827,3.2727253
1573673344.0500486,3.2736
1573673345.4287174,3.2744583
1573673346.796939,3.2752951
1573673348.1642199,3.2761155
1573673349.55452,3.2769296
1573673350.9210613,3.2777147
1573673352.2861598,3.2784859
1573673353.6521327,3.2792369
1573673355.0198975,3.2799715
1573673356.3850682,3.2806947
1573673357.7529125,3.2814079
1573673359.1206293,3.2821059
1573673360.4884086,3.2827862
1573673361.8555863,3.2834514
1573673363.2234104,3.2841077
1573673364.5906782,3.2847476
1573673365.9580076,3.2853787
1573673367.3269262,3.2859947
1573673368.695166,3.286598
1573673370.0629222,3.2871925
1573673371.428051,3.2877731
1573673372.7971895,3.2883436
1573673374.165159,3.2889002
1573673375.532717,3.2894506
1573673376.901212,3.289987
1573673378.267273,3.2905159
1573673379.6345735,3.2910321
1573673381.0022159,3.291542
1573673382.3696427,3.2920381
1573673383.737222,3.2925328
1573673385.1052537,3.2930074
1573673386.4723034,3.2934807
1573673387.839625,3.2939465
1573673389.2073252,3.2944009
1573673390.5754006,3.2948452
1573673391.9426408,3.2952869
1573673393.3083222,3.2957161
1573673394.6763897,3.296144
1573673396.0444684,3.2965617
1573673397.4124076,3.2969707
1573673398.7794662,3.2973759
1573673400.1468892,3.297776
1573673401.5137346,3.2981647
1573673402.880687,3.2985484
1573673404.2488177,3.2989258
1573673405.6159656,3.2992982
1573673406.9833083,3.2996642
1573673408.3506243,3.3000252
1573673409.717455,3.3003811
1573673411.084702,3.3007295
1573673412.4646266,3.3010766
1573673413.8318028,3.3014149
1573673415.2166708,3.3017557
1573673416.583946,3.3020838
1573673417.9703448,3.302412
1573673419.3375657,3.3027313
1573673420.7046294,3.3030456
1573673422.072408,3.3033549
1573673423.4467869,3.3036641
1573673424.8144922,3.303967
1573673426.1818602,3.3042624
1573673427.5497372,3.3045539
1573673428.9254656,3.3048442
1573673430.2925477,3.3051308
1573673431.6600854,3.3054122
1573673433.027675,3.3056912
1573673434.4036741,3.3059651
1573673435.7715728,3.3062352
1573673437.1376948,3.3064977
1573673438.5046935,3.3067628
1573673439.8723786,3.307019
1573673441.239007,3.3072752
1573673442.6070724,3.3075277
1573673443.9745405,3.3077788
1573673445.3399363,3.3080224
1573673446.7074747,3.3082648
1573673448.075973,3.3085033
1573673449.4438696,3.3087406
1573673450.8112006,3.3089716
1573673452.1782458,3.3092039
1573673453.5455246,3.3094336
1573673454.9123337,3.3096582
1573673456.2784297,3.3098766
1573673457.645577,3.3100975
1573673459.0132306,3.3103133
1573673460.3811123,3.3105279
1573673461.7493644,3.3107387
1573673463.1163313,3.3109495
1573673464.4833996,3.3111552
1573673465.8515582,3.3113609
1573673467.217362,3.3115616
1573673468.5855803,3.3117598
1573673469.9597387,3.3119592
1573673471.3252218,3.3121561
1573673472.6927733,3.3123492
1573673474.0597572,3.3125424
1573673475.434459,3.3127329
1573673476.8024886,3.3129172
1573673478.170801,3.3131028
1573673479.5377145,3.3132858
1573673480.9060473,3.3134638
1573673482.272667,3.3136442
1573673483.6403027,3.3138184
1573673485.0076127,3.3139926
1573673486.3732753,3.3141655
1573673487.7414074,3.3143359
1573673489.1086473,3.3145063
1573673490.475513,3.3146729
1573673491.8432193,3.3148395
1573673493.210714,3.3150024
1573673494.5759845,3.3151665
1573673495.949865,3.3153293
1573673497.318024,3.315487
1573673498.6854837,3.3156461
1573673500.0528336,3.3158001
1573673501.4277918,3.3159553
1573673502.794992,3.3161068
1573673504.162844,3.3162608
1573673505.53095,3.3164097
1573673506.901837,3.3165549
1573673508.2679894,3.3167025
1573673509.6356633,3.316854
1573673511.0030396,3.3169928
1573673512.3702812,3.3171342
1573673513.738028,3.3172768
1573673515.1061676,3.3174157
1573673516.4730058,3.3175533
1573673517.8406587,3.3176883
1573673519.2082582,3.3178259
1573673520.5756414,3.3179647
1573673521.9510834,3.3180973
1573673523.3168178,3.3182311
1573673524.6841104,3.3183573
1573673526.0516226,3.3184936
1573673527.419213,3.3186211
1573673528.7865176,3.318746
1573673530.1541893,3.3188748
1573673531.5192559,3.3190023
1573673532.8865602,3.3191247
1573673534.251979,3.3192496
1573673535.619801,3.3193708
1573673536.9874566,3.319492
1573673538.3532767,3.3196106
1573673539.730938,3.3197293
1573673541.0987659,3.3198504
1573673542.4723485,3.3199691
1573673543.8396606,3.3200827
1573673545.2076871,3.3201963
1573673546.5733047,3.3203137
1573673547.940273,3.3204247
1573673549.3059342,3.3205346
1573673550.6709824,3.3206494
1573673552.0355406,3.320758
1573673553.4127197,3.320869
1573673554.7798593,3.3209776
1573673556.1468062,3.3210849
1573673557.515,3.3211922
1573673558.8827105,3.3212969
1573673560.2489886,3.3214029
1573673561.6166034,3.3215077
1573673562.9842117,3.3216125
1573673564.3513608,3.3217122
