time,current
1574175728.896296,0.48688799
1574175730.554345,0.48639905
1574175731.921202,0.48620856
1574175733.2892802,0.48617405
1574175734.6549475,0.48612551
1574175736.0237849,0.48604663
1574175737.3905284,0.48602729
1574175738.75841,0.4860709
1574175740.1421247,0.48596498
1574175741.510171,0.48602161
1574175742.877419,0.48584249
1574175744.2450943,0.4857942
1574175745.6122856,0.48590392
1574175746.9795232,0.48585007
1574175748.3465388,0.48564416
1574175749.7294853,0.48565478
1574175751.0970402,0.48569889
1574175752.465568,0.48568145
1574175753.8305204,0.48543319
1574175755.1965122,0.48566527
1574175756.57761,0.4855199
1574175757.9439366,0.48561167
1574175759.3116672,0.48552306
1574175760.6776745,0.48562849
1574175762.0449946,0.48565263
1574175763.4137187,0.48564998
1574175764.7808232,0.48567816
1574175766.146628,0.4854926
1574175767.5129797,0.4856817
1574175768.8798234,0.48564441
1574175770.2459712,0.48567627
1574175771.6113894,0.48552875
1574175772.9808862,0.48548375
1574175774.348857,0.48550158
1574175775.7163193,0.48543281
1574175777.0830562,0.48531677
1574175778.4480038,0.48549096
1574175779.8156347,0.48558576
1574175781.1819987,0.48555884
1574175782.5496585,0.48542156
1574175783.9175236,0.48540892
1574175785.2827563,0.48530919
1574175786.6530352,0.48528075
1574175788.0181837,0.48530047
1574175789.3840773,0.48535849
1574175790.7698362,0.48537517
1574175792.1374276,0.48537138
1574175793.5036633,0.48541701
1574175794.8712976,0.48542308
1574175796.2421894,0.48527341
1574175797.6099024,0.48536594
1574175798.9778407,0.48533763
1574175800.3431575,0.48539502
1574175801.709501,0.48540943
1574175803.0756533,0.48516155
1574175804.4411922,0.48540412
1574175805.808652,0.48537492
1574175807.173689,0.48531589
1574175808.5402977,0.48532916
1574175809.9051368,0.48518885
1574175811.2733793,0.48531955
1574175812.641324,0.48535608
1574175814.0084574,0.48538693
1574175815.3740892,0.48526608
1574175816.741343,0.48525079
1574175818.1086771,0.48529098
1574175819.4759605,0.48507395
1574175820.842592,0.4853035
1574175822.2095883,0.48518493
1574175823.576782,0.48519568
1574175824.9415903,0.48533409
1574175826.3086164,0.4852245
1574175827.6762617,0.4852724
1574175829.0453472,0.48514094
1574175830.4374826,0.48520579
1574175831.803999,0.48533535
1574175833.1708531,0.4851953
1574175834.538573,0.48538452
1574175835.9057102,0.48522374
1574175837.2738407,0.48517747
1574175838.640439,0.48525445
1574175840.0083852,0.48507787
1574175841.4043672,0.4852001
1574175842.7720506,0.48518721
1574175844.136502,0.48491809
1574175845.5036566,0.48519163
1574175846.8709326,0.48521919
1574175848.2369235,0.48525812
1574175849.6040673,0.48523789
1574175850.9720037,0.48511389
1574175852.3398814,0.48519884
1574175853.7076268,0.48520781
1574175855.0753756,0.48521464
1574175856.4430296,0.48511427
1574175857.8101785,0.48516155
1574175859.1781368,0.48518518
1574175860.545234,0.48526191
1574175861.9102683,0.48524775
1574175863.275107,0.48502983
1574175864.6414645,0.48526672
