time,Voltage (V),Current (A)
1574279700.8431525,3.1729764,0.15
1574279702.2422314,3.1726583,0.15
1574279703.6194706,3.1723478,0.15
1574279705.0166998,3.1720512,0.151
1574279706.4202693,3.1717533,0.15
1574279707.820058,3.1714769,0.151
1574279709.197616,3.1711828,0.15
1574279710.5882232,3.170895,0.151
1574279712.0015423,3.1706262,0.151
1574279713.380178,3.1703233,0.151
1574279714.7998683,3.1700178,0.151
1574279716.197266,3.1697553,0.151
1574279717.5859816,3.1694435,0.151
1574279718.965216,3.1691785,0.151
1574279720.3720963,3.1689197,0.151
1574279721.7715135,3.1686509,0.151
1574279723.1739154,3.1683883,0.151
1574279724.5517561,3.1681271,0.15
1574279725.9547534,3.1678418,0.151
1574279727.3514154,3.1675591,0.151
1574279728.7505558,3.1673319,0.15
1574279730.1309686,3.1670681,0.15
1574279731.5220218,3.166827,0.151
1574279732.8997142,3.1665809,0.15
1574279734.322095,3.1663284,0.151
1574279735.7199242,3.1660419,0.15
1574279737.1204767,3.1658135,0.15
1574279738.5172746,3.1655345,0.15
1574279739.9133267,3.1652833,0.15
1574279741.3146214,3.1650296,0.15
1574279742.7108724,3.1647923,0.151
1574279744.1080716,3.1645248,0.151
1574279745.5103238,3.1642534,0.151
1574279746.9097543,3.1640224,0.151
1574279748.309821,3.1637738,0.15
1574279749.7125964,3.1635453,0.151
1574279751.1105318,3.1633055,0.151
1574279752.510563,3.1630581,0.151
1574279753.9119833,3.1628372,0.15
1574279755.3138876,3.1626088,0.151
1574279756.7130864,3.1624207,0.15
1574279758.12872,3.1621708,0.151
1574279759.5291708,3.161965,0.15
1574279760.9852984,3.1617303,0.15
1574279762.3838205,3.1614942,0.151
1574279763.7598917,3.161267,0.15
1574279765.212325,3.1610298,0.151
1574279766.5904737,3.1608202,0.151
1574279767.9666228,3.1606183,0.15
1574279769.344772,3.1603949,0.15
1574279770.7279172,3.1601626,0.15
1574279772.1370468,3.1599821,0.151
1574279773.513197,3.1597789,0.151
1574279774.9253242,3.1595871,0.151
1574279776.3024755,3.1593851,0.151
1574279777.715606,3.1591655,0.15
1574279779.092838,3.158956,0.151
1574279780.4939585,3.1587805,0.15
1574279781.8714416,3.1585647,0.151
1574279783.2838175,3.1583993,0.151
1574279784.6603427,3.1581772,0.15
1574279786.0884714,3.1580194,0.15
1574279787.4641933,3.1578326,0.15
1574279788.8645065,3.1575979,0.151
1574279790.241608,3.1574275,0.151
1574279791.6551735,3.1572444,0.151
1574279793.0534453,3.1570526,0.15
1574279794.4457746,3.156862,0.151
1574279795.8433716,3.1566727,0.15
1574279797.2357676,3.1564884,0.151
1574279798.6191227,3.1563079,0.15
1574279800.0252793,3.1561388,0.15
1574279801.4015527,3.1559557,0.15
1574279802.8317153,3.155779,0.15
1574279804.2089508,3.1555948,0.15
1574279805.6078744,3.1554218,0.151
1574279807.011163,3.1552628,0.15
1574279808.4199445,3.1551113,0.151
1574279809.8190517,3.1549119,0.151
1574279811.1963348,3.1547302,0.15
1574279812.5728092,3.1545572,0.151
1574279813.9820483,3.1543995,0.151
1574279815.3593838,3.1542127,0.151
1574279816.7716045,3.1540372,0.151
1574279818.1487772,3.1539022,0.15
1574279819.5650806,3.1537368,0.151
1574279820.9426498,3.1535942,0.151
1574279822.3479323,3.1534314,0.151
1574279823.7364821,3.1532673,0.151
1574279825.1394613,3.1531057,0.151
1574279826.5244725,3.1529757,0.15
1574279827.9376686,3.1528129,0.151
1574279829.3278797,3.1526703,0.15
1574279830.7303698,3.1525112,0.15
1574279832.116941,3.1523522,0.151
1574279833.5091822,3.1522108,0.15
1574279834.896704,3.1520354,0.15
1574279836.307254,3.1518852,0.151
1574279837.6934965,3.1517123,0.15
1574279839.0985932,3.1515886,0.15
1574279840.4849417,3.1514535,0.151
1574279841.8882096,3.1512844,0.151
1574279843.2742364,3.1511531,0.151
1574279844.680509,3.1510004,0.15
1574279846.0675116,3.1508691,0.151
1574279847.4598188,3.1507214,0.15
1574279848.8470562,3.1505927,0.15
1574279850.261961,3.1504109,0.151
1574279851.6500094,3.1502835,0.15
1574279853.0500937,3.1501219,0.151
1574279854.4378867,3.1499831,0.15
1574279855.8394344,3.1498505,0.15
1574279857.2158227,3.1496915,0.151
1574279858.633616,3.1495817,0.15
1574279860.0226555,3.1494479,0.151
1574279861.421011,3.1492964,0.151
1574279862.8084784,3.1491828,0.151
1574279864.211953,3.1490465,0.151
1574279865.5988688,3.1489291,0.15
1574279867.002923,3.1487739,0.15
1574279868.3905206,3.1486502,0.151
1574279869.7952268,3.148529,0.151
1574279871.1833053,3.1483876,0.151
1574279872.5824518,3.1482614,0.151
1574279873.9682317,3.1481428,0.151
1574279875.3721108,3.148014,0.15
1574279876.7601914,3.1478979,0.151
1574279878.1614892,3.1477906,0.15
1574279879.54814,3.1476732,0.15
1574279880.9545774,3.1475319,0.151
1574279882.3373728,3.1474031,0.151
1574279883.7474048,3.1472958,0.15
1574279885.140984,3.1471961,0.151
1574279886.5315678,3.1470888,0.151
1574279887.9201188,3.1469639,0.151
1574279889.3177989,3.1468314,0.151
1574279890.7053127,3.1467329,0.15
1574279892.1132042,3.1465979,0.151
1574279893.5011852,3.1465108,0.151
1574279894.9038866,3.1463997,0.15
1574279896.2892795,3.1462861,0.15
1574279897.7288008,3.1461637,0.15
1574279899.1165662,3.146069,0.151
1574279900.5063615,3.1459264,0.151
1574279901.8938348,3.1458166,0.15
1574279903.2816844,3.1457002,0.151
1574279904.6707401,3.145598,0.15
1574279906.0631838,3.1455021,0.15
1574279907.455903,3.1453859,0.15
1574279908.8540144,3.145261,0.151
1574279910.239689,3.1451449,0.151
1574279911.6357753,3.1450464,0.151
1574279913.0240247,3.1449328,0.151
1574279914.4329991,3.1448419,0.15
1574279915.8211586,3.1447056,0.15
1574279917.2273164,3.1446413,0.15
1574279918.6118262,3.1445378,0.151
1574279920.0375705,3.1443876,0.151
1574279921.424648,3.1443219,0.151
1574279922.8016884,3.1442058,0.151
1574279924.186813,3.1440821,0.151
1574279925.5862803,3.1439874,0.151
1574279926.979754,3.1438764,0.151
1574279928.4888227,3.1437842,0.15
1574279929.9220717,3.1436896,0.151
1574279931.304802,3.1435861,0.15
1574279932.7161584,3.1434977,0.151
1574279934.1030836,3.143403,0.151
1574279935.5147288,3.1432958,0.151
1574279936.891878,3.1432263,0.151
1574279938.2959936,3.1431115,0.151
1574279939.6736448,3.1429865,0.151
1574279941.0869622,3.1429108,0.15
1574279942.4650784,3.14283,0.15
1574279943.8889992,3.1427278,0.151
1574279945.2827303,3.1426621,0.15
1574279946.6681297,3.14257,0.151
1574279948.0471532,3.1424463,0.151
1574279949.4704025,3.1423731,0.151
1574279950.8609972,3.1423049,0.15
1574279952.2641768,3.1422178,0.15
1574279953.6407292,3.1421244,0.151
1574279955.0528533,3.1420348,0.15
1574279956.4299374,3.1419301,0.151
1574279957.8281786,3.1418405,0.15
1574279959.219693,3.1417508,0.15
1574279960.619913,3.1416751,0.15
1574279961.9975982,3.1415489,0.151
1574279963.4170651,3.1414744,0.15
1574279964.8065755,3.14141,0.151
1574279966.2000396,3.1413469,0.151
1574279967.57751,3.1412434,0.15
1574279968.999744,3.1411627,0.151
1574279970.3991115,3.1410869,0.151
1574279971.792339,3.1410061,0.151
1574279973.169701,3.1409266,0.151
1574279974.5821233,3.1408307,0.15
1574279975.9633574,3.1407764,0.151
1574279977.3720489,3.1406931,0.15
1574279978.7598178,3.1406199,0.151
1574279980.1704202,3.1405669,0.15
1574279981.5672572,3.1404811,0.15
1574279982.9456415,3.1404154,0.15
1574279984.3352544,3.140322,0.15
1574279985.7308724,3.1401983,0.15
1574279987.1172373,3.1401226,0.151
1574279988.5376463,3.1400784,0.15
1574279989.9306893,3.1400027,0.151
1574279991.320701,3.1399396,0.151
1574279992.6984875,3.1398613,0.151
1574279994.1157563,3.1397881,0.15
1574279995.499463,3.1396808,0.151
1574279996.8923426,3.1396354,0.15
1574279998.2771084,3.1395584,0.151
1574279999.6815941,3.139489,0.151
1574280001.0585332,3.139388,0.15
1574280002.472541,3.139306,0.151
1574280003.8579736,3.1392366,0.151
1574280005.2619677,3.1391671,0.15
1574280006.6391113,3.1391192,0.151
1574280008.0604494,3.1390662,0.15
1574280009.4374716,3.138974,0.151
1574280010.8525493,3.1389298,0.15
1574280012.2379632,3.1388781,0.15
1574280013.638096,3.1387998,0.15
1574280015.015246,3.1387392,0.151
1574280016.4347868,3.1386761,0.151
1574280017.8109376,3.1385941,0.15
1574280019.2130919,3.1385158,0.15
1574280020.5904274,3.1384704,0.15
1574280022.0042357,3.1384035,0.151
1574280023.3926177,3.138353,0.151
1574280024.8028598,3.1382785,0.15
1574280026.1913602,3.1382154,0.15
1574280027.5857542,3.1381511,0.151
1574280028.9741974,3.1380943,0.151
