=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.11.14 16:44:18 =~=~=~=~=~=~=~=~=~=~=~=
BME280 Temp,28835.-687194767, Pressure (%),98.133488, Humidity (%),10.509765, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.330688, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.152490, 9_axis_accel_Y (m/s2),-2.587546, 9_axis_accel_Z (m/s2),9.629594, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.298125, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.007500, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8552.319999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.135187, Humidity (%),10.488281, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.445312, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.139334, 9_axis_accel_Y (m/s2),-2.594124, 9_axis_accel_Z (m/s2),9.634378, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.268750, 9_axis_Geo_Y,0.603125, 9_axis_Geo_Z,0.007500, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8554.559999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.135699, Humidity (%),10.499023, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.117208, 9_axis_accel_Y (m/s2),-2.587546, 9_axis_accel_Z (m/s2),9.641554, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.272500, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.007500, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.600000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.136714, Humidity (%),10.477539, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.445312, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),464.000000, VOC (ppb),9.000000, 9_axis_accel_X (m/s2),0.135148, 9_axis_accel_Y (m/s2),-2.578576, 9_axis_accel_Z (m/s2),9.646338, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.283750, 9_axis_Geo_Y,0.610625, 9_axis_Geo_Z,0.000000, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8554.880000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.136617, Humidity (%),10.477539, 3_axis_X (m/s2),0.038208, 3_axis_Y (m/s2),2.445312, 3_axis_Z (m/s2),9.093504, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),432.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),0.175812, 9_axis_accel_Y (m/s2),-2.592928, 9_axis_accel_Z (m/s2),9.658298, 9_axis_Gyro_X,0.005325, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.005325, 9_axis_Geo_X,-0.276250, 9_axis_Geo_Y,0.588750, 9_axis_Geo_Z,0.003750, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8555.200000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.135328, Humidity (%),10.466796, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),422.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.134550, 9_axis_accel_Y (m/s2),-2.583360, 9_axis_accel_Z (m/s2),9.647534, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,-0.001065, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.268750, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.019375, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8554.239999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,29491.858993459, Pressure (%),98.135062, Humidity (%),10.434570, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.330688, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),441.000000, VOC (ppb),6.000000, 9_axis_accel_X (m/s2),0.127972, 9_axis_accel_Y (m/s2),-2.604888, 9_axis_accel_Z (m/s2),9.642750, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.287500, 9_axis_Geo_Y,0.603125, 9_axis_Geo_Z,0.011250, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.600000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,29491.858993459, Pressure (%),98.135398, Humidity (%),10.488281, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.445312, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),422.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.144118, 9_axis_accel_Y (m/s2),-2.587546, 9_axis_accel_Z (m/s2),9.634976, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.291250, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.015000, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8554.880000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.135160, Humidity (%),10.725585, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.445312, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),432.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),0.135746, 9_axis_accel_Y (m/s2),-2.588144, 9_axis_accel_Z (m/s2),9.653514, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.287500, 9_axis_Geo_Y,0.603125, 9_axis_Geo_Z,0.015000, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.280000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.133390, Humidity (%),10.930664, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),441.000000, VOC (ppb),6.000000, 9_axis_accel_X (m/s2),0.093288, 9_axis_accel_Y (m/s2),-2.599506, 9_axis_accel_Z (m/s2),9.640956, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.010650, 9_axis_Geo_X,-0.301875, 9_axis_Geo_Y,0.614375, 9_axis_Geo_Z,0.007500, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8552.639999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.133898, Humidity (%),10.747070, 3_axis_X (m/s2),-0.152832, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),454.000000, VOC (ppb),8.000000, 9_axis_accel_X (m/s2),0.140530, 9_axis_accel_Y (m/s2),-2.609074, 9_axis_accel_Z (m/s2),9.652318, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,-0.305625, 9_axis_Geo_Y,0.606875, 9_axis_Geo_Z,0.007500, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.920000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.134507, Humidity (%),10.661132, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.330688, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.117806, 9_axis_accel_Y (m/s2),-2.601300, 9_axis_accel_Z (m/s2),9.608664, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.265000, 9_axis_Geo_Y,0.595625, 9_axis_Geo_Z,0.007500, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.920000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28180.2061584302, Pressure (%),98.135511, Humidity (%),10.552734, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.165646, 9_axis_accel_Y (m/s2),-2.602496, 9_axis_accel_Z (m/s2),9.634976, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.268750, 9_axis_Geo_Y,0.581250, 9_axis_Geo_Z,0.023125, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.600000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.134015, Humidity (%),10.552734, 3_axis_X (m/s2),-0.114624, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),435.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),0.116610, 9_axis_accel_Y (m/s2),-2.590536, 9_axis_accel_Z (m/s2),9.642152, 9_axis_Gyro_X,-0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.287500, 9_axis_Geo_Y,0.599375, 9_axis_Geo_Z,0.003750, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8554.559999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.133093, Humidity (%),10.541992, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.093504, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),432.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),0.125580, 9_axis_accel_Y (m/s2),-2.595918, 9_axis_accel_Z (m/s2),9.658896, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.268750, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.007500, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8553.920000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.133945, Humidity (%),10.552734, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.368896, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),435.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),0.129766, 9_axis_accel_Y (m/s2),-2.598908, 9_axis_accel_Z (m/s2),9.644544, 9_axis_Gyro_X,-0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.005325, 9_axis_Geo_X,-0.280000, 9_axis_Geo_Y,0.595625, 9_axis_Geo_Z,0.007500, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8554.239999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.134382, Humidity (%),10.541992, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.445312, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),432.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),0.134550, 9_axis_accel_Y (m/s2),-2.585752, 9_axis_accel_Z (m/s2),9.651720, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.283750, 9_axis_Geo_Y,0.588125, 9_axis_Geo_Z,0.019375, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8555.200000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.135574, Humidity (%),10.520507, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.368896, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.119600, 9_axis_accel_Y (m/s2),-2.603094, 9_axis_accel_Z (m/s2),9.629594, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,-0.298125, 9_axis_Geo_Y,0.588125, 9_axis_Geo_Z,0.000000, FG_Voltage,4.102000, FG_Current,0.000000, ALS,8554.559999, TMP103_temp,25.000000, Sensor data pushed
B
