=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.11.14 13:55:02 =~=~=~=~=~=~=~=~=~=~=~=
BME280 Temp,14417.-343597384, Pressure (%),98.086980, Humidity (%),21.098632, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.322752, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),409.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.265224, 9_axis_accel_Y (m/s2),-0.290030, 9_axis_accel_Z (m/s2),9.788064, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.332500, 9_axis_Geo_Y,0.405625, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,660.180000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,13107.858993459, Pressure (%),98.085671, Humidity (%),21.077148, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.152832, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.268000, CO2 (ppm),400.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.258646, 9_axis_accel_Y (m/s2),-0.260130, 9_axis_accel_Z (m/s2),9.782084, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.004260, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.336250, 9_axis_Geo_Y,0.412500, 9_axis_Geo_Z,0.003125, FG_Voltage,4.099000, FG_Current,0.000000, ALS,737.539999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,10485.-1030792151, Pressure (%),98.086203, Humidity (%),21.065429, 3_axis_X (m/s2),-2.216064, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),0.269000, CO2 (ppm),418.000000, VOC (ppb),2.000000, 9_axis_accel_X (m/s2),2.267018, 9_axis_accel_Y (m/s2),-0.269698, 9_axis_accel_Z (m/s2),9.739626, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.321250, 9_axis_Geo_Y,0.405625, 9_axis_Geo_Z,-0.003125, FG_Voltage,4.099000, FG_Current,0.000000, ALS,737.539999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,9175.171798692, Pressure (%),98.088542, Humidity (%),21.127929, 3_axis_X (m/s2),-2.101440, 3_axis_Y (m/s2),0.152832, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.268000, CO2 (ppm),502.000000, VOC (ppb),15.000000, 9_axis_accel_X (m/s2),2.257450, 9_axis_accel_Y (m/s2),-0.273286, 9_axis_accel_Z (m/s2),9.783878, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.346875, 9_axis_Geo_Y,0.427500, 9_axis_Geo_Z,-0.010625, FG_Voltage,4.099000, FG_Current,0.000000, ALS,737.379999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,6553.-1717986918, Pressure (%),98.088402, Humidity (%),21.179687, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.305664, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),0.268000, CO2 (ppm),400.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.248480, 9_axis_accel_Y (m/s2),-0.266708, 9_axis_accel_Z (m/s2),9.761752, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.004260, 9_axis_Gyro_Z,0.009585, 9_axis_Geo_X,0.328750, 9_axis_Geo_Y,0.416250, 9_axis_Geo_Z,0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,737.779999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,2621.1889785610, Pressure (%),98.087714, Humidity (%),21.293945, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.264000, CO2 (ppm),409.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.265822, 9_axis_accel_Y (m/s2),-0.258336, 9_axis_accel_Z (m/s2),9.788064, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,-0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.332500, 9_axis_Geo_Y,0.412500, 9_axis_Geo_Z,0.000000, FG_Voltage,4.099000, FG_Current,0.000000, ALS,738.259999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,1076756480.00, Pressure (%),98.088410, Humidity (%),21.325195, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),418.000000, VOC (ppb),2.000000, 9_axis_accel_X (m/s2),2.277782, 9_axis_accel_Y (m/s2),-0.286442, 9_axis_accel_Z (m/s2),9.772516, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.343125, 9_axis_Geo_Y,0.412500, 9_axis_Geo_Z,0.003125, FG_Voltage,4.099000, FG_Current,0.000000, ALS,738.419999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,129761.1202590843, Pressure (%),98.088855, Humidity (%),21.303710, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),409.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.270606, 9_axis_accel_Y (m/s2),-0.282854, 9_axis_accel_Z (m/s2),9.770124, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.009585, 9_axis_Geo_X,0.314375, 9_axis_Geo_Y,0.427500, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,738.419999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,128450.-1889785610, Pressure (%),98.088628, Humidity (%),21.313476, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),433.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),2.268812, 9_axis_accel_Y (m/s2),-0.276874, 9_axis_accel_Z (m/s2),9.759958, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.328750, 9_axis_Geo_Y,0.412500, 9_axis_Geo_Z,-0.003125, FG_Voltage,4.096000, FG_Current,0.000000, ALS,738.419999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,125829.515396076, Pressure (%),98.086781, Humidity (%),21.375976, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),400.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.276586, 9_axis_accel_Y (m/s2),-0.282256, 9_axis_accel_Z (m/s2),9.774908, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.009585, 9_axis_Geo_X,0.343125, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,738.340000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,124518.1717986918, Pressure (%),98.086558, Humidity (%),21.427734, 3_axis_X (m/s2),-2.063232, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.265000, CO2 (ppm),400.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.270606, 9_axis_accel_Y (m/s2),-0.253552, 9_axis_accel_Z (m/s2),9.771918, 9_axis_Gyro_X,-0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.332500, 9_axis_Geo_Y,0.412500, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,738.340000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,123207.-1374389535, Pressure (%),98.087164, Humidity (%),21.374023, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.152832, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.270000, CO2 (ppm),417.000000, VOC (ppb),2.000000, 9_axis_accel_X (m/s2),2.263430, 9_axis_accel_Y (m/s2),-0.273884, 9_axis_accel_Z (m/s2),9.759958, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.314375, 9_axis_Geo_Y,0.416250, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,740.120000, TMP103_temp,15.000000, Sensor data pushed
