time,voltage
1573753559.1113026,4.1658179
1573753560.478824,4.1657724
1573753561.846885,4.165727
1573753563.2116818,4.1656778
1573753564.5794914,4.1656285
1573753565.9660518,4.1655869
1573753567.333677,4.165544
1573753568.7228117,4.1655048
1573753570.0908155,4.165443
1573753571.456725,4.1653875
1573753572.8246796,4.165342
1573753574.192359,4.1652827
1573753575.5600543,4.1652335
1573753576.9277503,4.1651943
1573753578.294938,4.1651439
1573753579.662372,4.165106
1573753581.0303655,4.1650467
1573753582.397818,4.165005
1573753583.7652833,4.164947
1573753585.1319337,4.1649103
1573753586.498104,4.1648548
1573753587.8659241,4.164822
1573753589.2328606,4.164769
1573753590.6007166,4.1647311
1573753591.996688,4.1646806
1573753593.3633103,4.1646352
1573753594.7317786,4.1645847
1573753596.0989592,4.1645418
1573753597.4869993,4.1645027
1573753598.855166,4.1644446
1573753600.2231026,4.1644029
1573753601.5906382,4.164355
1573753602.9792078,4.1643095
1573753604.3466914,4.1642692
1573753605.7152421,4.1642161
1573753607.0810876,4.164172
1573753608.4718661,4.1641303
1573753609.839157,4.1640748
1573753611.204825,4.1640331
1573753612.5712483,4.1639902
1573753613.9379027,4.1639321
1573753615.3052106,4.1638854
1573753616.6725862,4.1638463
1573753618.040259,4.1638021
1573753619.4076288,4.1637567
1573753620.7734282,4.1637087
1573753622.141066,4.1636759
1573753623.5070653,4.1636254
1573753624.8742902,4.1635876
1573753626.241653,4.1635371
1573753627.6081853,4.1634916
1573753628.9963996,4.1634538
1573753630.3634698,4.1634083
1573753631.7312226,4.1633642
1573753633.0991309,4.16332
1573753634.4653351,4.1632682
1573753635.8325195,4.1632291
1573753637.2009113,4.1631824
1573753638.5691295,4.1631357
1573753639.9342997,4.1630941
1573753641.299474,4.1630436
1573753642.6646473,4.1630082
1573753644.0303512,4.1629577
1573753645.3975306,4.1629085
1573753646.7655003,4.1628631
1573753648.1314821,4.1628126
1573753649.4990637,4.1627785
1573753650.8654745,4.1627343
1573753652.2325563,4.1626876
1573753653.6003852,4.1626498
1573753654.9674985,4.1625904
1573753656.3347447,4.1625475
1573753657.7016256,4.1625021
1573753659.0687034,4.1624592
1573753660.4358017,4.1624125
1573753661.8036242,4.1623721
1573753663.1709375,4.1623229
1573753664.5379856,4.1622787
1573753665.9053886,4.162232
1573753667.2716737,4.1621966
1573753668.6397648,4.1621411
1573753670.0052228,4.162107
1573753671.3709314,4.1620654
1573753672.7364333,4.1620212
1573753674.1022303,4.1619808
1573753675.4908392,4.1619354
1573753676.859164,4.1618836
1573753678.2268114,4.1618508
1573753679.5939155,4.1618028
1573753680.9801118,4.1617662
1573753682.346982,4.1617246
1573753683.7135904,4.1616842
1573753685.0823352,4.1616362
1573753686.4710634,4.1615895
1573753687.8391485,4.1615441
1573753689.2077065,4.1614986
1573753690.574825,4.1614494
1573753691.961078,4.1614052
1573753693.3279562,4.1613636
1573753694.6961331,4.1613257
1573753696.0639858,4.1612815
1573753697.4543116,4.1612399
1573753698.822056,4.1611957
1573753700.1891508,4.1611528
1573753701.557208,4.1611175
1573753702.9290276,4.1610632
1573753704.296448,4.1610203
1573753705.6645877,4.1609799
1573753707.0318558,4.1609458
1573753708.399791,4.1608966
1573753709.7673593,4.160865
1573753711.1352105,4.1608095
1573753712.502159,4.1607779
1573753713.8698926,4.1607224
1573753715.237535,4.1606782
1573753716.6046264,4.1606467
1573753717.9864254,4.1605873
1573753719.3538578,4.1605558
1573753720.7215269,4.1605154
1573753722.0893917,4.1604674
1573753723.4783072,4.1604283
1573753724.844785,4.1603791
1573753726.212393,4.1603362
1573753727.5795965,4.1602869
1573753728.9671862,4.1602491
1573753730.3347645,4.1602125
1573753731.70069,4.1601696
1573753733.0683916,4.1601241
1573753734.4355862,4.1600812
1573753735.8036675,4.1600408
1573753737.1717005,4.1600004
1573753738.5364451,4.1599562
1573753739.9034688,4.1599108
1573753741.2714157,4.1598692
1573753742.6384068,4.159825
1573753744.004952,4.1597795
1573753745.3710098,4.1597404
1573753746.738942,4.1596988
1573753748.1059723,4.1596584
1573753749.4922285,4.1596167
1573753750.8592458,4.1595801
1573753752.2264473,4.1595372
1573753753.5954485,4.1594905
1573753754.981555,4.1594425
1573753756.348585,4.1593958
1573753757.7166374,4.159358
1573753759.0843143,4.1593151
1573753760.474264,4.1592734
1573753761.8411362,4.1592343
1573753763.2090514,4.1591964
1573753764.5766418,4.1591434
1573753765.9436486,4.1590967
1573753767.3112087,4.1590651
1573753768.678474,4.159026
1573753770.04571,4.1589818
1573753771.4135413,4.1589377
1573753772.8179414,4.1588985
1573753774.185309,4.1588455
1573753775.5518007,4.1588127
1573753776.9207375,4.158766
1573753778.288185,4.1587294
1573753779.6569715,4.1586941
1573753781.0247653,4.1586511
1573753782.3916705,4.158612
1573753783.7599196,4.1585842
1573753785.127904,4.1585338
1573753786.4951963,4.1585009
1573753787.8631978,4.1584568
1573753789.2301123,4.1584227
1573753790.5974445,4.1583684
1573753791.9651062,4.1583343
1573753793.3330548,4.158299
1573753794.7003934,4.1582485
1573753796.06898,4.1582169
1573753797.4362698,4.1581803
1573753798.8041985,4.1581324
1573753800.171998,4.1580895
1573753801.5379968,4.1580529
1573753802.905819,4.1579998
1573753804.2715447,4.1579645
1573753805.6395636,4.1579178
1573753807.0062926,4.1578762
1573753808.3742568,4.1578383
1573753809.7416189,4.1577928
1573753811.1090772,4.1577512
1573753812.4844668,4.1577108
